No,Current distance,Vr Ori SSM,Speed,Mode SSM ori,Mode Collab,x,y,z,rx,ry,rz
176,1237.62,0,250,2,3,415.915,-387.594,-21.642,-179.4037,-2.8393,10.0878
177,1237.62,0,250,2,3,415.912,-387.594,-20.844,-179.4041,-2.8388,10.0889
178,1237.62,0,250,2,3,415.915,-387.594,-20.005,-179.4037,-2.8391,10.0895
179,1237.62,0,250,2,3,415.914,-387.595,-19.403,-179.4043,-2.8394,10.0877
180,1237.62,0,250,2,3,415.917,-387.6,-18.559,-179.4052,-2.8393,10.0891
181,1237.62,0,250,2,3,415.914,-387.593,-17.962,-179.4037,-2.8393,10.0887
182,1237.62,0,250,2,3,415.915,-387.594,-17.365,-179.404,-2.8394,10.089
183,1237.62,0,250,2,3,415.916,-387.598,-16.52,-179.4048,-2.8393,10.0882
184,1237.62,0,250,2,3,415.917,-387.598,-15.68,-179.4047,-2.8396,10.0887
185,1237.62,0,250,2,3,415.919,-387.599,-14.879,-179.4051,-2.8399,10.089
186,1237.62,0,250,2,3,415.919,-387.599,-14.044,-179.4044,-2.8398,10.0873
187,1237.62,0,250,2,3,415.918,-387.599,-13.441,-179.4043,-2.8396,10.0877
188,1237.62,0,250,2,3,415.913,-387.596,-12.606,-179.4042,-2.8387,10.0889
189,1237.62,0,250,2,3,415.917,-387.597,-12.199,-179.4043,-2.8393,10.0886
190,1237.62,0,250,2,3,415.914,-387.595,-11.403,-179.4042,-2.8392,10.0888
191,1237.62,0,250,2,3,415.918,-387.598,-10.561,-179.4046,-2.8396,10.0893
192,1237.62,0,250,2,3,415.917,-387.597,-9.725,-179.4041,-2.8395,10.0876
193,1237.62,0,250,2,3,415.913,-387.593,-8.929,-179.403,-2.8388,10.0878
194,1237.62,0,250,2,3,415.914,-387.593,-8.086,-179.4034,-2.8392,10.0882
195,1237.62,0,250,2,3,415.915,-387.595,-7.282,-179.4043,-2.8395,10.0884
196,1237.62,0,250,2,3,415.918,-387.599,-6.642,-179.4048,-2.8397,10.089
197,1237.62,0,250,2,3,415.913,-387.592,-5.805,-179.4035,-2.8389,10.0894
198,1237.62,0,250,2,3,415.916,-387.597,-5,-179.4046,-2.8394,10.0895
199,1237.62,0,250,2,3,415.913,-387.593,-4.321,-179.4034,-2.8387,10.0882
200,1237.62,0,250,2,3,415.916,-387.597,-4.196,-179.4045,-2.8391,10.0897
201,1237.62,0,250,2,3,415.916,-387.597,-4.196,-179.4045,-2.8391,10.0897
202,1237.62,0,250,2,3,415.916,-387.597,-4.19,-179.4051,-2.8394,10.0897
203,1237.62,0,250,2,3,415.917,-387.599,-3.85,-179.4052,-2.8395,10.0891
204,1237.62,0,250,2,3,415.917,-387.599,-3.04,-179.4047,-2.839,10.0893
205,1237.62,0,250,2,3,415.913,-387.593,-2.445,-179.4033,-2.8388,10.0888
206,1237.62,0,250,2,3,415.914,-387.595,-1.599,-179.4041,-2.8392,10.0892
207,1237.62,0,250,2,3,415.915,-387.595,-0.759,-179.4045,-2.8392,10.0895
208,1237.62,0,250,2,3,415.915,-387.598,-0.158,-179.4045,-2.8387,10.0898
209,1237.62,0,250,2,3,415.916,-387.596,0.678,-179.4038,-2.8392,10.0894
210,1237.62,0,250,2,3,415.916,-387.597,1.479,-179.4046,-2.8392,10.0895
211,1237.62,0,250,2,3,415.914,-387.596,17.395,-179.4043,-2.8385,10.0904
212,1208.69,0,250,2,3,415.914,-387.596,18.238,-179.4047,-2.8391,10.0899
213,1208.69,0,250,2,3,415.913,-387.596,50.238,-179.4041,-2.8383,10.0906
214,1208.69,0,250,2,3,415.916,-387.597,51.076,-179.4039,-2.8388,10.0891
215,1208.69,0,250,2,3,415.916,-387.599,51.48,-179.4042,-2.8386,10.0886
216,1208.69,0,250,2,3,415.911,-387.594,52.117,-179.4035,-2.8378,10.0902
217,1208.69,0,250,2,3,415.915,-387.597,52.962,-179.4041,-2.8387,10.0887
218,1208.69,0,250,2,3,415.914,-387.597,53.559,-179.4039,-2.8379,10.09
219,1208.69,0,250,2,3,415.916,-387.599,54.405,-179.4044,-2.8387,10.0885
220,1208.69,0,250,2,3,415.916,-387.596,55.003,-179.4037,-2.8388,10.0892
221,1208.69,0,250,2,3,415.914,-387.596,55.843,-179.4043,-2.8385,10.0905
222,1208.69,0,250,2,3,415.913,-387.595,56.436,-179.403,-2.8381,10.089
223,1208.69,0,250,2,3,415.913,-387.596,57.282,-179.4044,-2.8382,10.0903
224,1208.69,0,250,2,3,415.918,-387.602,57.883,-179.4049,-2.839,10.0888
225,1208.69,0,250,2,3,415.912,-387.595,58.517,-179.404,-2.8379,10.0903
226,1208.69,0,250,2,3,415.917,-387.601,59.324,-179.4053,-2.8389,10.0907
227,1208.69,0,250,2,3,415.914,-387.597,60.16,-179.4038,-2.8384,10.0892
228,1208.69,0,250,2,3,415.916,-387.597,60.762,-179.4045,-2.8392,10.0898
229,1208.69,0,250,2,3,415.916,-387.599,61.404,-179.4044,-2.8385,10.0892
230,1208.69,0,250,2,3,415.917,-387.599,62.241,-179.4044,-2.8388,10.0898
