,Sensor,Real
119,0.87142678,1
120,0.873991544,1
121,0.942497187,1
122,0.940210392,1
123,0.954070014,1
124,0.934149612,1
125,0.934464016,1
126,0.925908191,1
127,0.904683363,1
128,0.922455307,1
129,0.909858193,1
130,0.904895563,1
131,0.909053249,1
132,0.909479325,1
133,0.895128788,1
134,0.876286718,1
135,0.898992457,1
136,0.89375048,1
137,0.908792948,1
138,0.989624847,1
139,0.970900043,1
140,0.936885283,1
141,0.972645441,1
142,0.921163101,1
143,0.881261058,1
144,0.881122573,1
145,0.867272181,1
146,0.881214895,1
147,0.90101155,1
148,0.913012396,1
149,0.909668743,1
150,0.917986555,1
151,0.913630022,1
152,0.909881876,1
153,0.912751192,1
154,0.912869914,1
155,0.918940994,1
156,0.914509524,1
157,0.932675441,1
158,0.937709632,1
159,0.936303731,1
160,0.93812202,1
161,0.919824549,1
162,0.891464865,1
163,0.877045204,1
164,0.885794645,1
165,0.893470355,1
166,0.899719851,1
167,0.933255225,1
168,0.91865458,1
169,0.920852229,1
170,0.934415641,1
171,0.924564192,1
172,0.930841326,1
173,0.92341342,1
174,0.923054035,1
175,0.923125903,1
176,0.918081964,1
177,0.920421927,1
178,0.890277278,1
179,0.90411769,1
180,0.911066672,1
181,0.905603184,1
182,0.88287803,1
183,0.869872608,1
184,0.927494167,1
185,0.90021287,1
186,0.878402617,1
187,0.894871686,1
188,0.893003638,1
189,0.955398214,1
190,0.91165953,1
191,0.918917123,1
192,0.908934923,1
193,0.908863934,1
194,0.906264029,1
195,0.896110999,1
196,0.938801556,1
197,0.935093073,1
198,0.883641152,1
199,0.858650194,1
200,0.881284141,1
201,0.861478545,1
202,0.824827847,1
203,0.826511637,1
204,0.828220264,1
205,0.839354839,1
206,0.829844032,1
207,0.885864183,1
208,0.913748834,1
209,0.914866271,1
210,0.92581214,1
211,0.934875285,1
212,0.911754416,1
213,0.9020695,1
214,0.859463972,1
215,0.861954461,1
216,0.862793507,1
217,0.862680083,1
218,0.846318954,1
219,0.855378921,1
220,0.865132771,1
221,0.868252294,1
222,0.883132345,1
223,0.942229359,1
224,0.917557314,1
225,0.923461346,1
226,0.92288636,1
227,0.925668078,1
228,0.933956174,1
229,0.959391408,1
230,0.951148111,1
231,0.892443836,1
232,0.895409331,1
233,0.879254748,1
