,Sensor,Real,,,data 1,,
97,0.906523752,1,,,0.093476248,,
98,0.899438223,1,,,0.100561777,,
99,0.907634147,1,,,0.092365853,,
100,0.892000861,1,,,0.107999139,,
101,0.898711012,1,,,0.101288988,,
102,0.898382749,1,,,0.101617251,,
103,0.927518213,1,,,0.072481787,,
104,0.923796885,1,,,0.076203115,,
105,0.931926973,1,,,0.068073027,,
106,0.923796885,1,,,0.076203115,,
107,0.867659559,1,,,0.132340441,,
108,0.873739374,1,,,0.126260626,,
109,0.87699922,1,,,0.12300078,,
110,0.880476541,1,,,0.119523459,,
111,0.891348378,1,,,0.108651622,,
112,0.894638008,1,,,0.105361992,,
113,0.923006126,1,,,0.076993874,,
114,0.91669931,1,,,0.08330069,,
115,0.902492959,1,,,0.097507041,,
116,0.896110999,1,,,0.103889001,,
117,0.883710553,1,,,0.116289447,,
118,0.873578934,1,,,0.126421066,,
119,0.87142678,1,,,0.12857322,,
120,0.873991544,1,,,0.126008456,,
121,0.942497187,1,,,0.057502813,,
122,0.940210392,1,,,0.059789608,,
123,0.954070014,1,,,0.045929986,,
124,0.934149612,1,,,0.065850388,,
125,0.934464016,1,,,0.065535984,,
126,0.925908191,1,,,0.074091809,,
127,0.904683363,1,,,0.095316637,,
128,0.922455307,1,,,0.077544693,,
129,0.909858193,1,,,0.090141807,,
130,0.904895563,1,,,0.095104437,,
131,0.909053249,1,,,0.090946751,,
132,0.909479325,1,,,0.090520675,,
133,0.895128788,1,,,0.104871212,,
134,0.876286718,1,,,0.123713282,,
135,0.898992457,1,,,0.101007543,,
136,0.89375048,1,,,0.10624952,,
137,0.908792948,1,,,0.091207052,,
138,0.989624847,1,,,0.010375153,,
139,0.970900043,1,,,0.029099957,,
140,0.936885283,1,,,0.063114717,,
141,0.972645441,1,,,0.027354559,,
142,0.921163101,1,,,0.078836899,,
143,0.881261058,1,,,0.118738942,,
144,0.881122573,1,,,0.118877427,,
145,0.867272181,1,,,0.132727819,,
146,0.881214895,1,,,0.118785105,,
147,0.90101155,1,,,0.09898845,,
148,0.913012396,1,,,0.086987604,,
149,0.909668743,1,,,0.090331257,,
150,0.917986555,1,,,0.082013445,,
151,0.913630022,1,,,0.086369978,,
152,0.909881876,1,,,0.090118124,,
153,0.912751192,1,,,0.087248808,,
154,0.912869914,1,,,0.087130086,,
155,0.918940994,1,,,0.081059006,,
156,0.914509524,1,,,0.085490476,,
157,0.932675441,1,,,0.067324559,,
158,0.937709632,1,,,0.062290368,,
159,0.936303731,1,,,0.063696269,,
160,0.93812202,1,,,0.06187798,,
161,0.919824549,1,,,0.080175451,,
162,0.891464865,1,,,0.108535135,,
163,0.877045204,1,,,0.122954796,,
164,0.885794645,1,,,0.114205355,,
165,0.893470355,1,,,0.106529645,,
166,0.899719851,1,,,0.100280149,,
167,0.933255225,1,,,0.066744775,,
168,0.91865458,1,,,0.08134542,,
169,0.920852229,1,,,0.079147771,,
170,0.934415641,1,,,0.065584359,,
171,0.924564192,1,,,0.075435808,,
172,0.930841326,1,,,0.069158674,,
173,0.92341342,1,,,0.07658658,,
174,0.923054035,1,,,0.076945965,,
175,0.923125903,1,,,0.076874097,,
176,0.918081964,1,,,0.081918036,,
177,0.920421927,1,,,0.079578073,,
178,0.890277278,1,,,0.109722722,,
179,0.90411769,1,,,0.09588231,,
180,0.911066672,1,,,0.088933328,,
181,0.905603184,1,,,0.094396816,,
182,0.88287803,1,,,0.11712197,,
183,0.869872608,1,,,0.130127392,,
184,0.927494167,1,,,0.072505833,,
185,0.90021287,1,,,0.09978713,,
186,0.878402617,1,,,0.121597383,,
187,0.894871686,1,,,0.105128314,,
188,0.893003638,1,,,0.106996362,,
189,0.955398214,1,,,0.044601786,,
190,0.91165953,1,,,0.08834047,,
191,0.918917123,1,,,0.081082877,,
192,0.908934923,1,,,0.091065077,,
193,0.908863934,1,,,0.091136066,,
194,0.906264029,1,,,0.093735971,,
195,0.896110999,1,,,0.103889001,,
196,0.938801556,1,,,0.061198444,,
197,0.935093073,1,,,0.064906927,,
198,0.883641152,1,,,0.116358848,,
199,0.858650194,1,,,0.141349806,,
200,0.881284141,1,,,0.118715859,,
201,0.861478545,1,,,0.138521455,,
202,0.824827847,1,,,0.175172153,,
203,0.826511637,1,,,0.173488363,,
204,0.828220264,1,,,0.171779736,,
205,0.839354839,1,,,0.160645161,,
206,0.829844032,1,,,0.170155968,,
207,0.885864183,1,,,0.114135817,,
208,0.913748834,1,,,0.086251166,,
209,0.914866271,1,,,0.085133729,,
210,0.92581214,1,,,0.07418786,,
211,0.934875285,1,,,0.065124715,,
212,0.911754416,1,,,0.088245584,,
213,0.9020695,1,,,0.0979305,,
214,0.859463972,1,,,0.140536028,,
215,0.861954461,1,,,0.138045539,,
216,0.862793507,1,,,0.137206493,,
217,0.862680083,1,,,0.137319917,,
218,0.846318954,1,,,0.153681046,,
219,0.855378921,1,,,0.144621079,,
220,0.865132771,1,,,0.134867229,,
221,0.868252294,1,,,0.131747706,,
222,0.883132345,1,,,0.116867655,,
223,0.942229359,1,,,0.057770641,,
224,0.917557314,1,,,0.082442686,,
225,0.923461346,1,,,0.076538654,,
226,0.92288636,1,,,0.07711364,,
227,0.925668078,1,,,0.074331922,,
228,0.933956174,1,,,0.066043826,,
229,0.959391408,1,,,0.040608592,,
230,0.951148111,1,,,0.048851889,,
231,0.892443836,1,,,0.107556164,,
232,0.895409331,1,,,0.104590669,,
233,0.879254748,1,,,0.120745252,,
234,0.910403035,1,,,0.089596965,,
235,0.905697566,1,,,0.094302434,,
236,0.895806889,1,,,0.104193111,,
237,0.889416496,1,,,0.110583504,,
238,0.884312215,1,,,0.115687785,,
239,0.924276393,1,,,0.075723607,,
240,0.915937174,1,,,0.084062826,,
241,0.907515968,1,,,0.092484032,,
242,0.934415641,1,,,0.065584359,,
243,0.953578452,1,,,0.046421548,,
244,0.947426049,1,,,0.052573951,,
245,0.946204167,1,,,0.053795833,,
246,0.929780767,1,,,0.070219233,,
247,0.911683251,1,,,0.088316749,,
248,0.91161209,1,,,0.08838791,,
249,0.938316134,1,,,0.061683866,,
250,0.922048347,1,,,0.077951653,,
251,0.949334637,1,,,0.050665363,,
252,0.953160778,1,,,0.046839222,,
253,0.982816208,1,,,0.017183792,,
254,0.967913534,1,,,0.032086466,,
255,0.935625611,1,,,0.064374389,,
256,0.96853514,1,,,0.03146486,,
257,1.032376624,1,,,-0.032376624,,
258,1.019439308,1,,,-0.019439308,,
259,0.999624669,1,,,0.000375331,,
260,0.963744303,1,,,0.036255697,,
261,0.952767803,1,,,0.047232197,,
262,0.954930721,1,,,0.045069279,,
263,0.974243339,1,,,0.025756661,,
264,0.961813302,1,,,0.038186698,,
265,0.952031314,1,,,0.047968686,,
266,0.953652173,1,,,0.046347827,,
267,0.944398036,1,,,0.055601964,,
268,0.950461615,1,,,0.049538385,,
269,0.941207291,1,,,0.058792709,,
270,0.960923079,1,,,0.039076921,,
271,0.972271224,1,,,0.027728776,,
272,0.986216051,1,,,0.013783949,,
273,0.951050017,1,,,0.048949983,,
274,0.933061932,1,,,0.066938068,,
275,0.938388935,1,,,0.061611065,,
276,0.93654601,1,,,0.06345399,,
277,0.959070491,1,,,0.040929509,,
278,0.943715336,1,,,0.056284664,,
279,0.914961422,1,,,0.085038578,,
280,0.937224652,1,,,0.062775348,,
281,0.92482807,1,,,0.07517193,,
282,0.957146731,1,,,0.042853269,,
283,0.938073496,1,,,0.061926504,,
284,0.920947873,1,,,0.079052127,,
285,0.912774935,1,,,0.087225065,,
286,0.904164819,1,,,0.095835181,,
287,0.913891425,1,,,0.086108575,,
288,0.914699775,1,,,0.085300225,,
289,0.953332744,1,,,0.046667256,,
290,1.003221812,1,,,-0.003221812,,
291,0.999395395,1,,,0.000604605,,
292,1.026932273,1,,,-0.026932273,,
293,1.027140274,1,,,-0.027140274,,
294,1.022882532,1,,,-0.022882532,,
295,1.018095448,1,,,-0.018095448,,
296,1.013170745,1,,,-0.013170745,,
297,1.013634088,1,,,-0.013634088,,
298,1.012604653,1,,,-0.012604653,,
299,0.973544011,1,,,0.026455989,,
300,0.919012608,1,,,0.080987392,,
301,0.931492595,1,,,0.068507405,,
302,0.944446815,1,,,0.055553185,,
303,0.962332893,1,,,0.037667107,,
304,0.942278051,1,,,0.057721949,,
305,0.918081964,1,,,0.081918036,,
306,1.020629215,1,,,-0.020629215,,
307,1.035172227,1,,,-0.035172227,,
308,1.01175596,1,,,-0.01175596,,
309,1.011627417,1,,,-0.011627417,,
310,0.987957206,1,,,0.012042794,,
311,0.966199494,1,,,0.033800506,,
312,0.988437065,1,,,0.011562935,,
313,0.952424053,1,,,0.047575947,,
314,0.958774333,1,,,0.041225667,,
315,0.964339059,1,,,0.035660941,,
316,0.991598453,1,,,0.008401547,,
317,0.990459469,1,,,0.009540531,,
318,0.940429153,1,,,0.059570847,,
319,0.930455558,1,,,0.069544442,,
320,0.920206836,1,,,0.079793164,,
321,0.9296844,1,,,0.0703156,,
322,0.924516221,1,,,0.075483779,,
323,0.920947873,1,,,0.079052127,,
324,0.915960983,1,,,0.084039017,,
